项目（单位：万元）,中心/区域,板块业务分类,业务板块-分析汇报一级,组织标签,实际（营收）,预算（营收）,预算完成率（营收）,预实差异（营收）,同期（营收）,实际值（物资）,预算值（物资）,预算完成率（物资）,同期值（物资）,实际值（餐）,预算值（餐）,预算完成率（餐）,同期值（餐）,实际值（毛利）,预算值（毛利）,预算完成率（毛利）,同期值（毛利）,实际（毛利率）,预算（毛利率）,预实差异（毛利率）,同期（毛利率）,实际值（人力）,预算值（人力）,预算完成率（人力）,同期值（人力）,实际值（其他）,预算值（其他）,预算完成率（其他）,同期值（其他）,实际值（外收）,预算值（外收）,同期值（外收）,实际值（外支）,预算值（外支）,同期值（外支）,实际（利润）,预算（利润）,预算完成率（利润）,预实差异（利润）,同期（利润）,实际值（利润率）,预算值（利润率）,预实差异（利润率）,同期值（利润率）,实际值（人力成本率）,预算值（人力成本率）,预算完成率（人力成本率）,同期值（人力成本率）,实际值（创收）,预算值（创收）,预算完成率（创收）,同期值（创收）,实际值（创利）,预算值（创利）,预算完成率（创利）,同期值（创利）,实际值（人数）,预算值（人数）,预实差异（人数）,同期值（人数）,实际值（人均人力）,同期值（人均人力）,预算值（人均人力）,预实差异（人均人力）,看板取值标记
大后勤合计,,,,,"34,994.32","46,268.35",75.63%,"-11,274.03","24,769.43","17,045.45","25,791.89",66.09%,"10,303.73","2,163.41","2,405.95",89.92%,"1,968.50","15,785.46","18,070.52",87.35%,"12,497.20",45.11%,39.06%,6.05%,50.45%,"8,211.28","8,939.74",91.85%,"6,055.02","6,917.08","7,295.57",94.81%,"5,866.56",60.28,11.16,32.32,43.16,2,1.61,674.22,"1,844.36",36.56%,"-1,170.14",606.33,1.93%,3.99%,-2.06%,2.45%,23.46%,19.32%,91.85%,24.45%,4.26,5.18,82.34%,4.09,0.08,0.21,39.80%,0.1,"1,517.29","1,537.57",-20.29,"1,108.00",5.41,5.46,5.81,-0.4,
后勤管理中心,后勤管理中心,,,,"8,529.11","8,780.51",97.14%,-251.4,"8,803.04",0.5,0,,-19.95,894.65,955.96,93.59%,945.52,"7,633.96","7,824.54",97.56%,"7,877.46",89.50%,89.11%,0.39%,89.49%,"3,438.90","3,547.63",96.94%,"3,580.48","4,584.37","4,704.52",97.45%,"5,152.09",27.05,10.59,20.47,18.69,0,0.78,-380.95,-417.02,108.65%,36.07,-835.43,-4.47%,-4.75%,0.28%,-9.49%,40.32%,40.40%,96.94%,40.67%,2.48,2.48,100.21%,2.46,-0.11,-0.12,105.76%,-0.23,478.86,568.14,-89.29,561.71,7.18,6.37,6.24,0.94,
教育园特色餐饮,后勤管理中心,教育园特色餐饮,,,"1,388.30","1,461.14",95.02%,-72.84,"1,353.74",0,0,,0.63,574.69,574.35,100.06%,528.07,813.61,886.79,91.75%,825.04,58.60%,60.69%,-2.09%,60.95%,346.25,352.73,98.16%,318.98,157.27,174.12,90.32%,189.78,0.41,0,0.02,1.76,0,0.3,308.75,359.93,85.78%,-51.18,316,22.24%,24.63%,-2.39%,23.34%,24.94%,24.14%,98.16%,23.56%,4.01,4.14,96.79%,4.24,0.89,1.02,87.39%,0.99,66.43,77.86,-11.43,71.71,5.21,4.45,4.53,0.68,营收/利润取值
生活体验广场,后勤管理中心,教育园特色餐饮,教育园特色餐饮,生活体验广场,"1,080.53","1,080.58",100.00%,-0.05,"1,001.74",0,0,,0.63,458.74,437.21,104.92%,401.12,621.79,643.36,96.65%,600,57.54%,59.54%,-1.99%,59.90%,238.86,231.59,103.14%,214.74,129.2,144.1,89.66%,160.66,0.41,0,0,1.44,0,0.3,252.71,267.68,94.41%,-14.97,224.3,23.39%,24.77%,-1.38%,22.39%,22.11%,21.43%,103.14%,21.44%,4.52,4.67,96.95%,4.66,1.06,1.16,91.53%,1.04,45.14,50,-4.86,48.43,5.29,4.43,4.63,0.66,
中西餐厅,后勤管理中心,教育园特色餐饮,教育园特色餐饮,中西餐厅,307.77,380.56,80.87%,-72.79,352.01,0,0,,0,115.95,137.13,84.55%,126.96,191.82,243.43,78.80%,225.05,62.33%,63.97%,-1.64%,63.93%,107.39,121.14,88.65%,104.24,28.07,30.03,93.49%,29.12,0,0,0.02,0.32,0,0,56.04,92.26,60.74%,-36.22,91.71,18.21%,24.24%,-6.03%,26.05%,34.89%,31.83%,88.65%,29.61%,2.87,3.14,91.23%,3.38,0.52,0.76,68.52%,0.88,21.29,27.86,-6.57,23.29,5.05,4.48,4.35,0.7,
念心湖酒店,后勤管理中心,念心湖酒店,,,609.17,685.92,88.81%,-76.75,690.18,0,0,,1.21,154.61,178.23,86.75%,190.83,454.56,507.69,89.53%,498.14,74.62%,74.02%,0.60%,72.18%,270.06,272.23,99.20%,283.42,533.25,542.07,98.37%,522.18,0.35,0,0,1.01,0,0.31,-349.41,-306.61,86.04%,-42.8,-307.77,-57.36%,-44.70%,-12.66%,-44.59%,44.33%,39.69%,99.20%,41.06%,2.26,2.52,89.52%,2.44,-1.29,-1.13,85.13%,-1.09,40.57,49,-8.43,49.71,6.66,5.7,5.56,1.1,营收/利润取值
酒店早餐厅,后勤管理中心,念心湖酒店,酒店本级,酒店早餐厅,155,177,87.57%,-22,175.77,0,0,,0,69.93,84.9,82.37%,88.74,85.07,92.1,92.37%,87.03,54.88%,52.03%,2.85%,49.51%,46.35,47.77,97.02%,47.16,21.92,22.45,97.60%,20.63,0.3,0,0,0.25,0,0.22,16.85,21.87,77.03%,-5.02,19.02,10.87%,12.36%,-1.49%,10.82%,29.90%,26.99%,97.02%,26.83%,3.34,3.71,90.26%,3.73,0.36,0.46,79.39%,0.4,8.57,10,-1.43,10,5.41,4.72,4.78,0.63,
酒店中餐厅,后勤管理中心,念心湖酒店,酒店本级,酒店中餐厅,142.58,156,91.40%,-13.42,171,0,0,,0,84.89,93.33,90.96%,101.15,57.69,62.67,92.05%,69.85,40.46%,40.17%,0.29%,40.85%,132.61,135.57,97.82%,142.04,40.07,36.7,109.16%,35.76,0,0,0,0.04,0,0,-115.04,-109.61,95.04%,-5.43,-107.94,-80.68%,-70.26%,-10.42%,-63.12%,93.01%,86.91%,97.82%,83.06%,1.08,1.15,93.44%,1.2,-0.87,-0.81,92.70%,-0.76,19,24,-5,24.29,6.98,5.85,5.65,1.33,
酒店客房部,后勤管理中心,念心湖酒店,酒店本级,酒店客房部,311.6,352.92,88.29%,-41.32,343.41,0,0,,1.21,-0.21,0,,0.94,0,352.92,0.00%,341.26,0.00%,100.00%,-100.00%,99.37%,91.1,88.89,102.49%,94.22,471.26,482.91,97.59%,465.8,0.05,0,0,0.72,0,0.09,-251.22,-218.88,85.23%,-32.34,-218.85,-80.62%,-62.02%,-18.60%,-63.73%,29.24%,25.19%,102.49%,27.44%,3.42,3.97,86.15%,3.64,-2.76,-2.46,88.01%,-2.32,13,15,-2,15.43,7.01,6.11,5.93,1.08,
海亮后勤车队,后勤管理中心,海亮后勤车队,海亮后勤车队,海亮后勤车队,"2,056.67","2,152.50",95.55%,-95.83,"2,477.13",0,0,,0.23,0,0,,0,0,"2,152.50",0.00%,"2,476.89",0.00%,100.00%,-100.00%,99.99%,667.36,642.55,103.86%,672.4,"1,244.02","1,156.94",107.53%,"1,382.77",25.24,10.59,9.14,11.09,0,0,159.44,363.6,43.85%,-204.16,430.86,7.75%,16.89%,-9.14%,17.39%,32.45%,29.85%,103.86%,27.14%,3.08,3.35,92.00%,3.68,0.24,0.57,42.22%,0.64,54,63,-9,62.57,12.36,10.75,10.2,2.16,营收/利润取值
